step,node_id,is_gateway,lat,lon,battery_pct,reported_lat,reported_lon,reported_battery,protocol,packets_sent,packets_delivered,energy_mJ,collisions
0,0,True,18.4455576,73.852505,8333.2,,,,zigbee,0,0,0.0,9944
0,1,True,18.4503605,73.8675219,8333.2,,,,zigbee,0,0,0.0,9944
0,2,True,18.4577175,73.8584812,8333.2,,,,zigbee,0,0,0.0,9944
0,4,False,18.4473878,73.8526574,45.8,18.4473878,73.8526574,45.8,zigbee,204,1,525.0,9944
0,5,False,18.4564672,73.849502,89.8,,,,wifi,201,0,5400.0,9944
0,6,False,18.4471365,73.8522077,62.8,,,,zigbee,203,1,292.5,9944
0,7,False,18.4497743,73.8583032,83.7,,,,zigbee,204,0,405.0,9944
0,8,False,18.4445733,73.8495433,64.1,,,,zigbee,201,0,112.5,9944
0,9,False,18.4457859,73.8584754,54.8,,,,zigbee,204,0,450.0,9944
0,10,False,18.456309,73.8509102,69.6,,,,wifi,204,0,36000.0,9944
0,11,False,18.4434793,73.8701309,99.8,,,,wifi,201,0,9000.0,9944
0,12,False,18.4472673,73.8522787,66.1,18.4472673,73.8522787,66.1,zigbee,201,1,112.5,9944
0,13,False,18.4443787,73.8595455,85.8,,,,zigbee,202,0,180.0,9944
0,14,False,18.4537506,73.8699694,43.5,,,,zigbee,201,1,112.5,9944
0,15,False,18.4604439,73.8678081,96.8,,,,wifi,201,0,9000.0,9944
0,16,False,18.4460562,73.8682309,47.3,,,,zigbee,200,0,0.0,9944
0,17,False,18.4498719,73.8536177,82.5,,,,zigbee,202,0,225.0,9944
0,18,False,18.4616489,73.8660881,72.4,,,,wifi,203,0,27000.0,9944
0,19,False,18.451412,73.8641011,61.3,,,,zigbee,200,0,0.0,9944
0,20,False,18.45294,73.8698482,54.9,,,,zigbee,203,0,292.5,9944
0,21,False,18.4477084,73.8508933,88.5,,,,zigbee,200,0,0.0,9944
0,22,False,18.4418909,73.8656061,69.1,,,,wifi,200,0,0.0,9944
0,23,False,18.461895,73.8588059,81.8,,,,zigbee,201,0,112.5,9944
0,24,False,18.4444191,73.8495837,43.0,,,,zigbee,200,0,0.0,9944
0,25,False,18.4646362,73.864675,64.2,,,,wifi,202,0,14400.0,9944
0,26,False,18.4529134,73.8681822,55.9,,,,zigbee,200,0,0.0,9944
0,27,False,18.4529464,73.8668287,70.4,,,,zigbee,202,0,180.0,9944
0,28,False,18.4526682,73.8568706,80.1,,,,zigbee,201,0,112.5,9944
0,29,False,18.4457621,73.8614355,56.3,,,,wifi,208,0,72000.0,9944
